original_title,year,acquisition_type,film_stock_or_camera_type,verification_status,source_or_basis,source_url,uncertainty_note
A Scanner Darkly (2006),2006,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
A Serious Man (2009),2009,Animation/CGI,Animated / CGI production (no live-action acquisition medium),Title-level classification,Film identity / release information,,Some hybrid titles may contain photographed elements.
A Single Man (2009),2009,Animation/CGI,Animated / CGI production (no live-action acquisition medium),Title-level classification,Film identity / release information,,Some hybrid titles may contain photographed elements.
A Star Is Born (2018),2018,Film,"35 mm; Panavision cameras, Kodak Vision3",Technical-source lead,ASC production coverage,,Technical detail is a curated lead; recheck against the cited production source before using as a ground-truth training label.
A Time To Kill (1996),1996,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
A Walk to Remember (2002),2002,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
About Schmidt (2002),2002,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
About Time (2013),2013,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
About a Boy (2002),2002,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Across the Universe (2007),2007,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Adaptation (2002),2002,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Air (2023),2023,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
Aladdin (1992),1992,Animation/CGI,Animated / CGI production (no live-action acquisition medium),Title-level classification,Film identity / release information,,Some hybrid titles may contain photographed elements.
Aliens Special Edition (1986),1986,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Allied (2016),2016,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
Almost Famous EXTENDED (2000),2000,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
American Beauty (1999),1999,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
American Gangster (2007),2007,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
American History X (1998),1998,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
American Hustle (2013),2013,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
American Sniper (2014),2014,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
An Education (2009),2009,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Anastasia (1997),1997,Animation/CGI,Animated / CGI production (no live-action acquisition medium),Title-level classification,Film identity / release information,,Some hybrid titles may contain photographed elements.
Anchorman The Legend Of Ron Burgundy (2004),2004,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Apocalypto (2006),2006,Digital,Panavision Genesis,Technical-source lead,ASC production coverage,,Technical detail is a curated lead; recheck against the cited production source before using as a ground-truth training label.
Apollo 13 (1995),1995,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Argo (2012),2012,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
Army of Darkness (1992),1992,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
As Good as It Gets (1997),1997,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Atonement (2007),2007,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
August Rush (2007),2007,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Austin Powers - International Man of Mystery (1997),1997,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Avatar (2009),2009,Digital,Fusion 3-D system / Sony HDC-F950,Technical-source lead,ASC production coverage,,Technical detail is a curated lead; recheck against the cited production source before using as a ground-truth training label.
Avatar The Way Of Water (2022),2022,Digital,Sony VENICE / Cameron Pace 3-D system,Technical-source lead,ASC / Sony production coverage,,Technical detail is a curated lead; recheck against the cited production source before using as a ground-truth training label.
Awakenings (1990),1990,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Babel (2006),2006,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Baby Driver (2017),2017,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
Babylon (2022),2022,Film,"35 mm and 16 mm; Panavision, Kodak stocks",Technical-source lead,ASC production coverage,,Technical detail is a curated lead; recheck against the cited production source before using as a ground-truth training label.
Back to the Future II (1989),1989,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Back to the Future III (1990),1990,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Bad Times At The El Royale (2018),2018,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
Barbie (2023),2023,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
Basic Instinct (1992),1992,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Batman (1989),1989,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Batman Begins (2005),2005,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Batman Returns (1992),1992,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Beauty And The Beast (2017),2017,Animation/CGI,Animated / CGI production (no live-action acquisition medium),Title-level classification,Film identity / release information,,Some hybrid titles may contain photographed elements.
Beauty and the Beast (1991),1991,Animation/CGI,Animated / CGI production (no live-action acquisition medium),Title-level classification,Film identity / release information,,Some hybrid titles may contain photographed elements.
Before Midnight (2013),2013,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
Before Sunrise (1995),1995,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Before Sunset (2004),2004,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Before The Devil Knows Youre Dead (2007),2007,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Begin Again (2013),2013,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
Being John Malkovich (1999),1999,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Ben-Hur (1959),1959,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Beveryly Hills Cop (1984),1984,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Big (1988),1988,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Big Fish (2003),2003,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Billy Elliot (2000),2000,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Birdman (2014),2014,Digital,ARRI Alexa M,Technical-source lead,ASC production coverage,,Technical detail is a curated lead; recheck against the cited production source before using as a ground-truth training label.
Black Hawk Down (2001),2001,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Black Mirror Bandersnatch (2018),2018,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
Black Panther (2018),2018,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
Blade (1998),1998,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Blade Runner 2049 (2017),2049,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
Blow (2001),2001,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Blue Jasmine (2013),2013,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
Blue Valentine (2010),2010,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Low-confidence transition-era estimate. Film acquisition remained common in 2010–2011; verify before using as a ground-truth label.
Bohemian Rhapsody (2018),2018,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
Boogie Nights (1997),1997,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Booksmart (2019),2019,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
Bowling For Columbine (2002),2002,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Boyhood (2014),2014,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
Boys Dont Cry (1999),1999,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Boyz n The Hood (1991),1991,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Braveheart (1995),1995,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Brick (2005),2005,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Bridge Of Spies (2015),2015,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
Bridge to Terabithia (2007),2007,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Brokeback Mountain (2005),2005,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Broken Flowers (2005),2005,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Bronson (2008),2008,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Brooklyn (2015),2015,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
Brothers (2009),2009,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Buried (2010),2010,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Low-confidence transition-era estimate. Film acquisition remained common in 2010–2011; verify before using as a ground-truth label.
Burn After Reading (2008),2008,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
CODA (2021),2021,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
Call Me By Your Name (2017),2017,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
Cape Fear (1991),1991,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Captain America Civil War (2016),2016,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
Captain Fantastic (2016),2016,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
Captain Phillips (2013),2013,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
Carnage (2011),2011,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Low-confidence transition-era estimate. Film acquisition remained common in 2010–2011; verify before using as a ground-truth label.
Carol (2015),2015,Film,"Super 16; Arriflex 416, Kodak Vision3",Technical-source lead,ASC production coverage,,Technical detail is a curated lead; recheck against the cited production source before using as a ground-truth training label.
Cars (2006),2006,Animation/CGI,Animated / CGI production (no live-action acquisition medium),Title-level classification,Film identity / release information,,Some hybrid titles may contain photographed elements.
Casino (1995),1995,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Cast Away (2000),2000,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Catch Me If You Can (2002),2002,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Changeling (2008),2008,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Charlie Wilsons War (2007),2007,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Charlie and the Chocolate Factory (2005),2005,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Chasing Amy (1997),1997,Animation/CGI,Animated / CGI production (no live-action acquisition medium),Title-level classification,Film identity / release information,,Some hybrid titles may contain photographed elements.
Chef (2014),2014,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
Chicago (2002),2002,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Chicken Run (2000),2000,Animation/CGI,Animated / CGI production (no live-action acquisition medium),Title-level classification,Film identity / release information,,Some hybrid titles may contain photographed elements.
Children of Men (2006),2006,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Chocolat (2000),2000,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Chronicle (2012),2012,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
Cinderella Man (2005),2005,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Clerks 2 (2006),2006,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Closer (2004),2004,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Cloud Atlas (2012),2012,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
Cloverfield (2008),2008,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Coach Carter (2005),2005,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Coherence (2013),2013,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
Cold Moutians (2003),2003,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Collateral (2004),2004,Mixed,Thomson Viper FilmStream / 35 mm,Technical-source lead,ASC production coverage,,Technical detail is a curated lead; recheck against the cited production source before using as a ground-truth training label.
Constantine (2005),2005,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Contact (1997),1997,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Cop Land (1997),1997,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Coraline (2009),2009,Animation/CGI,Animated / CGI production (no live-action acquisition medium),Title-level classification,Film identity / release information,,Some hybrid titles may contain photographed elements.
Corpse Bride (2005),2005,Animation/CGI,Animated / CGI production (no live-action acquisition medium),Title-level classification,Film identity / release information,,Some hybrid titles may contain photographed elements.
Crash (2004),2004,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Creed (2015),2015,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
